City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
2,Bengkulu,ID,78.73,broken clouds,-3.8004,102.2655,Bengkulu
8,Rikitea,PF,77.92,broken clouds,-23.1203,-134.9692,Rikitea
10,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo
16,Atuona,PF,79.09,overcast clouds,-9.8,-139.0333,Atuona
30,Poya,NC,76.3,moderate rain,-21.35,165.15,Poya
34,Hithadhoo,MV,80.85,scattered clouds,-0.6,73.0833,Hithadhoo
36,Kapaa,US,80.58,light rain,22.0752,-159.319,Kapaa
38,Fayaoue,NC,80.89,moderate rain,-20.65,166.5333,Fayaoue
40,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Georgetown
61,Vaini,TO,84.36,light rain,-21.2,-175.2,Vaini
62,Butaritari,KI,82.49,scattered clouds,3.0707,172.7902,Butaritari
64,Blitar,ID,81.0,broken clouds,-8.0983,112.1681,Blitar
65,Quatre Cocos,MU,75.31,few clouds,-20.2078,57.7625,Quatre Cocos
66,Port Blair,IN,80.31,few clouds,11.6667,92.75,Port Blair
67,Saint-Georges,GD,76.68,broken clouds,12.0564,-61.7485,Saint-Georges
70,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Padang
71,Santa Cruz,BO,76.46,light rain,-17.8,-63.1667,Santa Cruz
74,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Saint-Philippe
75,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Carnarvon
85,New Norfolk,AU,76.66,clear sky,-42.7826,147.0587,New Norfolk
93,Progreso,MX,79.11,scattered clouds,21.2833,-89.6667,Progreso
96,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Mahebourg
100,Souillac,MU,75.58,light rain,-20.5167,57.5167,Souillac
102,Rock Sound,BS,78.66,clear sky,24.9,-76.2,Rock Sound
105,Kiunga,PG,75.69,overcast clouds,-6.1219,141.2906,Kiunga
107,Ugoofaaru,MV,82.15,overcast clouds,5.6667,73.0,Ugoofaaru
110,Meulaboh,ID,77.23,overcast clouds,4.1363,96.1285,Meulaboh
112,Pauini,BR,75.04,overcast clouds,-7.7136,-66.9764,Pauini
114,Banda Aceh,ID,79.02,broken clouds,5.5577,95.3222,Banda Aceh
124,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Cayenne
133,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Cockburn Town
144,Ailigandi,PA,79.72,overcast clouds,9.2333,-78.0167,Ailigandi
145,Marabba,SD,76.89,broken clouds,12.35,32.1833,Marabba
146,Limon,CR,77.86,clear sky,10.0,-83.0333,Limon
147,Mlonggo,ID,84.09,overcast clouds,-6.5333,110.7,Mlonggo
151,Kendari,ID,83.23,overcast clouds,-3.945,122.4989,Kendari
158,Faanui,PF,81.36,light rain,-16.4833,-151.75,Faanui
162,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Kahului
165,Axim,GH,79.27,overcast clouds,4.8699,-2.2405,Axim
170,Bassar,TG,75.4,broken clouds,9.25,0.7833,Bassar
171,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Bambous Virieux
172,Takoradi,GH,79.86,scattered clouds,4.8845,-1.7554,Takoradi
175,Catarman,PH,79.0,broken clouds,12.4989,124.6377,Catarman
178,Tabou,CI,79.74,few clouds,4.423,-7.3528,Tabou
180,Warrnambool,AU,84.81,light rain,-38.3833,142.4833,Warrnambool
181,Airai,TL,75.2,broken clouds,-8.9266,125.4092,Airai
183,Hobart,AU,77.02,few clouds,-42.8794,147.3294,Hobart
185,Ciudad Ojeda,VE,77.61,broken clouds,10.1964,-71.3082,Ciudad Ojeda
187,Kavaratti,IN,81.75,overcast clouds,10.5669,72.642,Kavaratti
