City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tiksi,71.6872,128.8694,-18.67,100,100,1.79,RU,2021-12-12 19:48:34
1,Kahului,20.8947,-156.47,78.06,80,40,18.41,US,2021-12-12 19:45:27
2,Port Elizabeth,-33.918,25.5701,72.1,83,90,5.75,ZA,2021-12-12 19:48:35
3,Shingu,33.7333,135.9833,50.41,67,9,11.3,JP,2021-12-12 19:48:35
4,Batagay,67.6333,134.6333,-40.67,100,97,1.63,RU,2021-12-12 19:48:36
5,Puerto Escondido,15.85,-97.0667,85.78,63,2,9.35,MX,2021-12-12 19:48:36
6,Ushuaia,-54.8,-68.3,44.26,76,75,36.82,AR,2021-12-12 19:48:02
7,Maltahohe,-24.8333,16.9833,73.83,13,0,15.97,NA,2021-12-12 19:48:37
8,Pilar,-9.5972,-35.9567,85.93,64,77,11.86,BR,2021-12-12 19:48:37
9,Rikitea,-23.1203,-134.9692,77.4,76,88,10.0,PF,2021-12-12 19:48:06
10,Madrid,40.4165,-3.7026,53.38,80,0,0.0,ES,2021-12-12 19:47:23
11,Albany,42.6001,-73.9662,45.63,31,0,1.01,US,2021-12-12 19:43:43
12,Okhotsk,59.3833,143.3,-0.92,76,100,18.14,RU,2021-12-12 19:46:02
13,Ostrovnoy,68.0531,39.5131,30.61,90,100,18.37,RU,2021-12-12 19:48:38
14,Port Alfred,-33.5906,26.891,70.75,93,100,16.75,ZA,2021-12-12 19:48:38
15,Khao Yoi,13.2403,99.8243,70.92,79,3,6.69,TH,2021-12-12 19:48:39
16,Busselton,-33.65,115.3333,50.04,75,100,9.73,AU,2021-12-12 19:48:39
17,Tautira,-17.7333,-149.15,84.22,79,72,11.25,PF,2021-12-12 19:48:39
18,Jamestown,42.097,-79.2353,44.33,43,0,14.0,US,2021-12-12 19:48:02
19,Anadyr,64.75,177.4833,-30.5,75,40,11.18,RU,2021-12-12 19:46:01
20,Bluff,-46.6,168.3333,57.79,76,31,2.17,NZ,2021-12-12 19:48:40
21,Mataura,-46.1927,168.8643,57.47,67,89,0.13,NZ,2021-12-12 19:48:40
22,Hermanus,-34.4187,19.2345,65.89,84,98,11.45,ZA,2021-12-12 19:48:41
23,Luderitz,-26.6481,15.1594,62.94,84,3,14.0,NA,2021-12-12 19:48:41
24,Turan,16.0678,108.2208,69.85,94,75,4.61,VN,2021-12-12 19:45:03
25,Yellowknife,62.456,-114.3525,10.42,89,90,9.22,CA,2021-12-12 19:48:42
26,Taperoa,-7.2075,-36.8267,91.35,24,19,11.41,BR,2021-12-12 19:48:42
27,Mount Isa,-20.7333,139.5,79.02,17,3,9.15,AU,2021-12-12 19:48:42
28,Lorengau,-2.0226,147.2712,82.08,83,100,13.04,PG,2021-12-12 19:48:43
29,Tasiilaq,65.6145,-37.6368,35.76,70,100,21.14,GL,2021-12-12 19:48:43
30,Hukuntsi,-24.0,21.75,77.0,51,100,19.01,BW,2021-12-12 19:48:43
31,Vao,-22.6667,167.4833,77.38,90,100,17.18,NC,2021-12-12 19:48:44
32,Kokopo,-4.352,152.2633,78.1,87,99,3.38,PG,2021-12-12 19:48:44
33,Port Blair,11.6667,92.75,79.79,74,61,12.73,IN,2021-12-12 19:48:44
34,Nanortalik,60.1432,-45.2371,21.0,77,13,5.06,GL,2021-12-12 19:48:45
35,Poum,-20.2333,164.0167,77.67,89,100,13.91,NC,2021-12-12 19:48:45
36,Cape Town,-33.9258,18.4232,66.11,82,20,3.0,ZA,2021-12-12 19:48:46
37,Sur,22.5667,59.5289,71.44,60,0,6.24,OM,2021-12-12 19:48:46
38,Cherskiy,68.75,161.3,-42.3,100,47,2.42,RU,2021-12-12 19:48:47
39,Bredasdorp,-34.5322,20.0403,65.28,86,100,5.08,ZA,2021-12-12 19:48:47
40,Butaritari,3.0707,172.7902,82.6,72,57,18.32,KI,2021-12-12 19:48:48
41,Kaitangata,-46.2817,169.8464,53.65,70,77,1.32,NZ,2021-12-12 19:48:48
42,Punta Arenas,-53.15,-70.9167,51.91,32,0,23.02,CL,2021-12-12 19:48:48
43,Thompson,55.7435,-97.8558,1.56,78,90,3.44,CA,2021-12-12 19:45:21
44,Jiwani,25.05,61.7417,72.73,59,8,7.18,PK,2021-12-12 19:48:49
45,Upernavik,72.7868,-56.1549,6.4,93,100,10.13,GL,2021-12-12 19:48:49
46,Puerto Ayora,-0.7393,-90.3518,78.76,89,99,7.7,EC,2021-12-12 19:49:50
47,Mar Del Plata,-38.0023,-57.5575,73.42,82,75,4.0,AR,2021-12-12 19:49:11
48,Khatanga,71.9667,102.5,-51.34,100,83,2.17,RU,2021-12-12 19:49:50
49,Tilichiki,60.4667,166.1,-8.99,82,100,15.7,RU,2021-12-12 19:49:51
50,Kamenka,51.3223,42.7678,19.74,68,25,12.57,RU,2021-12-12 19:45:38
51,Vestmannaeyjar,63.4427,-20.2734,44.31,69,100,22.08,IS,2021-12-12 19:49:51
52,Kapaa,22.0752,-159.319,78.12,75,20,3.0,US,2021-12-12 19:49:52
53,Carnarvon,-24.8667,113.6333,69.87,73,0,16.11,AU,2021-12-12 19:49:52
54,Sao Filipe,14.8961,-24.4956,75.54,68,78,6.73,CV,2021-12-12 19:49:53
55,Abalak,58.1286,68.5944,12.2,91,86,7.4,RU,2021-12-12 19:49:53
56,Avarua,-21.2078,-159.775,73.45,100,75,4.61,CK,2021-12-12 19:49:53
57,Norman Wells,65.282,-126.8329,-2.16,71,90,16.11,CA,2021-12-12 19:49:54
58,Maarianhamina,60.0973,19.9348,26.46,100,75,2.3,AX,2021-12-12 19:49:54
59,Ahipara,-35.1667,173.1667,69.46,94,100,5.95,NZ,2021-12-12 19:49:54
60,Krasnoselkup,65.7,82.4667,-15.21,92,100,6.11,RU,2021-12-12 19:49:55
61,Marienburg,54.0359,19.0266,31.12,97,67,6.4,PL,2021-12-12 19:49:55
62,Buala,-8.145,159.5921,81.57,83,100,6.8,SB,2021-12-12 19:49:55
63,Hilo,19.7297,-155.09,78.28,1,15,8.12,US,2021-12-12 19:45:20
64,Lebu,-37.6167,-73.65,58.08,59,1,9.37,CL,2021-12-12 19:49:56
65,Zhigansk,66.7697,123.3711,-39.19,100,99,5.17,RU,2021-12-12 19:49:56
66,Araguaina,-7.1911,-48.2072,82.06,81,100,2.86,BR,2021-12-12 19:49:57
67,Tuktoyaktuk,69.4541,-133.0374,-4.0,77,90,16.11,CA,2021-12-12 19:49:57
68,Lolodorf,3.2333,10.7333,73.17,95,54,3.27,CM,2021-12-12 19:49:57
69,Boone,39.0334,-92.3335,55.67,63,0,4.0,US,2021-12-12 19:46:35
70,Ponta Do Sol,32.6667,-17.1,67.01,78,68,2.42,PT,2021-12-12 19:49:58
71,Dikson,73.5069,80.5464,-18.18,94,97,13.71,RU,2021-12-12 19:49:58
72,Biak,-0.9131,122.8766,77.27,83,99,3.18,ID,2021-12-12 19:49:59
