City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Condition
0,Dalbandin,28.8947,64.4101,47.01,30,0,4.54,PK,12/13/2021 1:25,clear sky
1,Iqaluit,63.7506,-68.5145,2.93,65,75,3,CA,12/13/2021 1:25,broken clouds
2,Bengkulu,-3.8004,102.2655,78.73,78,79,2.8,ID,12/13/2021 1:25,broken clouds
3,Belomorsk,64.5232,34.7668,20.37,96,100,5.21,RU,12/13/2021 1:25,overcast clouds
4,Tiksi,71.6872,128.8694,-18.17,99,100,2.26,RU,12/13/2021 1:19,overcast clouds
5,Mataura,-46.1927,168.8643,63.48,33,12,4.45,NZ,12/13/2021 1:25,few clouds
6,Cidreira,-30.1811,-50.2056,71.55,91,1,13.87,BR,12/13/2021 1:25,clear sky
7,Yumen,40.2833,97.2,18.73,38,0,18.21,CN,12/13/2021 1:25,clear sky
8,Rikitea,-23.1203,-134.9692,77.92,75,65,7.58,PF,12/13/2021 1:25,broken clouds
9,Busselton,-33.65,115.3333,65.05,45,100,5.61,AU,12/13/2021 1:25,overcast clouds
10,Hilo,19.7297,-155.09,80.33,44,75,9.22,US,12/13/2021 1:23,broken clouds
11,Hualmay,-11.0964,-77.6139,68,85,74,8.23,PE,12/13/2021 1:17,broken clouds
12,Port Alfred,-33.5906,26.891,71.69,95,100,12.35,ZA,12/13/2021 1:25,overcast clouds
13,Severo-Kurilsk,50.6789,156.125,34.05,82,38,7.47,RU,12/13/2021 1:25,scattered clouds
14,Khandyga,62.6667,135.6,-41.82,100,86,1.16,RU,12/13/2021 1:25,overcast clouds
15,Roma,43.2128,-75.4557,42.84,58,0,1.01,US,12/13/2021 1:21,clear sky
16,Atuona,-9.8,-139.0333,79.09,79,100,17.9,PF,12/13/2021 1:25,overcast clouds
17,Aksha,50.2814,113.2867,5.47,86,29,4.09,RU,12/13/2021 1:25,scattered clouds
18,Laguna,38.421,-121.4238,51.93,91,90,3,US,12/13/2021 1:22,moderate rain
19,Khatanga,71.9667,102.5,-49.61,99,79,4.9,RU,12/13/2021 1:25,broken clouds
20,Katsuura,35.1333,140.3,53.71,49,76,14.18,JP,12/13/2021 1:25,broken clouds
21,Port Lincoln,-34.7333,135.8667,64.2,57,100,13.15,AU,12/13/2021 1:25,overcast clouds
22,Yellowknife,62.456,-114.3525,7.32,85,90,8.05,CA,12/13/2021 1:25,light snow
23,Saint Anthony,45.0205,-93.218,33.82,72,1,1.01,US,12/13/2021 1:25,clear sky
24,Mar Del Plata,-38.0023,-57.5575,64.42,82,0,7,AR,12/13/2021 1:25,clear sky
25,Sagua La Grande,22.8067,-80.0756,74.39,84,1,9.26,CU,12/13/2021 1:25,clear sky
26,Barrow,71.2906,-156.7887,-14.78,76,1,13.8,US,12/13/2021 1:25,clear sky
27,Bethel,41.3712,-73.414,42.82,55,1,1.01,US,12/13/2021 1:18,clear sky
28,Stornoway,58.2093,-6.3865,42.93,86,90,15.01,GB,12/13/2021 1:25,overcast clouds
29,Karratha,-20.7377,116.8463,96.85,18,0,6.46,AU,12/13/2021 1:20,clear sky
30,Poya,-21.35,165.15,76.3,93,100,2.73,NC,12/13/2021 1:25,moderate rain
31,Praia Da Vitoria,38.7333,-27.0667,55.65,76,40,19.66,PT,12/13/2021 1:25,scattered clouds
32,Jamestown,42.097,-79.2353,40.59,54,1,10,US,12/13/2021 1:25,clear sky
33,Bredasdorp,-34.5322,20.0403,61.29,88,100,2.95,ZA,12/13/2021 1:25,overcast clouds
34,Hithadhoo,-0.6,73.0833,80.85,79,43,10.25,MV,12/13/2021 1:21,scattered clouds
35,Ust-Nera,64.5667,143.2,-39.68,100,99,0.51,RU,12/13/2021 1:25,overcast clouds
36,Kapaa,22.0752,-159.319,80.58,75,75,4,US,12/13/2021 1:25,light rain
37,Qaanaaq,77.484,-69.3632,-3.5,70,11,4.47,GL,12/13/2021 1:25,few clouds
38,Fayaoue,-20.65,166.5333,80.89,81,100,13.31,NC,12/13/2021 1:25,moderate rain
39,Sterling,39.0062,-77.4286,43.14,52,1,0,US,12/13/2021 1:23,clear sky
40,Georgetown,5.4112,100.3354,81.9,75,20,2.3,MY,12/13/2021 1:21,few clouds
41,El Coyote,25.7,-103.2667,68.02,37,100,5.66,MX,12/13/2021 1:25,overcast clouds
42,Beringovskiy,63.05,179.3167,-14.57,98,100,13.44,RU,12/13/2021 1:25,light snow
43,Svetlogorsk,52.6333,29.7333,36.57,91,100,3.33,BY,12/13/2021 1:25,overcast clouds
44,Saskylakh,71.9167,114.0833,-44.59,100,76,3.56,RU,12/13/2021 1:25,broken clouds
45,Eureka,40.8021,-124.1637,49.19,93,100,1.01,US,12/13/2021 1:23,overcast clouds
46,Tahe,52.3333,124.7333,3.36,92,100,1.61,CN,12/13/2021 1:25,light snow
47,Kirkuk,35.4681,44.3922,55.78,28,100,5.66,IQ,12/13/2021 1:25,overcast clouds
48,Fortuna,40.5982,-124.1573,48.65,93,1,3,US,12/13/2021 1:26,clear sky
49,Coquimbo,-29.9533,-71.3436,60.53,82,0,8.05,CL,12/13/2021 1:21,clear sky
50,Albany,42.6001,-73.9662,40.8,51,0,8.08,US,12/13/2021 1:22,clear sky
51,Lompoc,34.6391,-120.4579,56.79,83,1,5.75,US,12/13/2021 1:26,clear sky
52,Mount Pleasant,32.7941,-79.8626,51.01,77,1,3,US,12/13/2021 1:24,clear sky
53,Ushuaia,-54.8,-68.3,42.46,56,75,28.77,AR,12/13/2021 1:25,broken clouds
54,Grandview,38.8858,-94.533,47.95,39,1,1.99,US,12/13/2021 1:26,clear sky
55,Punta Arenas,-53.15,-70.9167,44.71,61,75,23.02,CL,12/13/2021 1:23,broken clouds
56,Kodiak,57.79,-152.4072,14.29,57,1,26.46,US,12/13/2021 1:27,clear sky
57,Flin Flon,54.7682,-101.865,10.29,97,100,1.9,CA,12/13/2021 1:27,overcast clouds
58,Lavrentiya,65.5833,-171,-14.66,90,48,2.33,RU,12/13/2021 1:20,scattered clouds
59,East London,-33.0153,27.9116,71.96,95,100,17.27,ZA,12/13/2021 1:26,overcast clouds
60,Bluff,-46.6,168.3333,63.81,69,20,10.94,NZ,12/13/2021 1:27,few clouds
61,Vaini,-21.2,-175.2,84.36,84,20,11.5,TO,12/13/2021 1:27,light rain
62,Butaritari,3.0707,172.7902,82.49,72,31,15.35,KI,12/13/2021 1:27,scattered clouds
63,Isangel,-19.55,169.2667,91.51,75,75,6.91,VU,12/13/2021 1:22,broken clouds
64,Blitar,-8.0983,112.1681,81,76,51,6.8,ID,12/13/2021 1:27,broken clouds
65,Quatre Cocos,-20.2078,57.7625,75.31,71,22,12.28,MU,12/13/2021 1:27,few clouds
66,Port Blair,11.6667,92.75,80.31,69,21,14.09,IN,12/13/2021 1:27,few clouds
67,Saint-Georges,12.0564,-61.7485,76.68,94,75,5.75,GD,12/13/2021 1:22,broken clouds
68,Taonan,45.3333,122.7833,13.37,72,1,13.22,CN,12/13/2021 1:27,clear sky
69,Ous,60.9058,61.5186,7.32,90,100,3.24,RU,12/13/2021 1:27,overcast clouds
70,Padang,-0.9492,100.3543,78.85,92,100,2.1,ID,12/13/2021 1:22,overcast clouds
71,Santa Cruz,-17.8,-63.1667,76.46,94,90,5.75,BO,12/13/2021 1:27,light rain
72,Pangnirtung,66.1451,-65.7125,-4.99,70,63,7.56,CA,12/13/2021 1:27,broken clouds
73,Pevek,69.7008,170.3133,-32.91,97,10,2.62,RU,12/13/2021 1:27,clear sky
74,Saint-Philippe,-21.3585,55.7679,76.59,74,39,10.85,RE,12/13/2021 1:27,scattered clouds
75,Carnarvon,-24.8667,113.6333,75.27,64,0,19.57,AU,12/13/2021 1:27,clear sky
76,Ingham,42.6,-84.3833,41.25,60,1,6.91,US,12/13/2021 1:27,clear sky
77,Sept-Iles,50.2001,-66.3821,28.06,65,20,14,CA,12/13/2021 1:27,few clouds
78,Otavi,-19.65,17.3333,68.79,70,89,1.77,NA,12/13/2021 1:27,overcast clouds
79,Ribeira Grande,38.5167,-28.7,58.24,54,100,16.35,PT,12/13/2021 1:27,overcast clouds
80,Rehoboth,-23.3167,17.0833,70.02,18,5,6.15,NA,12/13/2021 1:27,clear sky
81,Hermanus,-34.4187,19.2345,62.91,89,91,5.53,ZA,12/13/2021 1:27,overcast clouds
82,Myitkyina,25.3833,97.4,59.68,71,40,2.04,MM,12/13/2021 1:27,scattered clouds
83,Chuy,-33.6971,-53.4616,67.68,77,6,11.59,UY,12/13/2021 1:27,clear sky
84,Vardo,70.3705,31.1107,29.46,82,56,26.24,NO,12/13/2021 1:27,broken clouds
85,New Norfolk,-42.7826,147.0587,76.66,31,0,1.99,AU,12/13/2021 1:27,clear sky
86,Horta,38.5333,-28.6333,56.97,56,100,15.35,PT,12/13/2021 1:23,overcast clouds
87,Port Elizabeth,-33.918,25.5701,70.11,88,90,6.91,ZA,12/13/2021 1:27,light rain
88,Sobolevo,54.4299,31.8996,31.53,97,100,6.44,RU,12/13/2021 1:27,overcast clouds
89,Weyburn,49.6668,-103.8511,32.22,74,100,6.91,CA,12/13/2021 1:27,overcast clouds
90,Comodoro Rivadavia,-45.8667,-67.5,55.26,88,0,8.05,AR,12/13/2021 1:28,clear sky
91,Campo Gobierno,24.6536,-107.5411,73.65,78,75,5.75,MX,12/13/2021 1:28,broken clouds
92,Teguise,29.0605,-13.564,59.22,59,0,10.36,ES,12/13/2021 1:28,clear sky
93,Progreso,21.2833,-89.6667,79.11,78,34,14.03,MX,12/13/2021 1:28,scattered clouds
94,Provideniya,64.3833,-173.3,-8.64,70,0,6.71,RU,12/13/2021 1:28,clear sky
95,Ormara,25.2088,64.6357,69.58,49,7,7.18,PK,12/13/2021 1:24,clear sky
96,Mahebourg,-20.4081,57.7,75.49,78,40,5.75,MU,12/13/2021 1:28,light rain
97,Kibre Mengist,5.8833,38.9833,50.94,81,100,3.62,ET,12/13/2021 1:28,overcast clouds
98,Carroll,39.5501,-77.0164,41.4,47,0,1.01,US,12/13/2021 1:28,clear sky
99,Vossevangen,60.623,6.4229,38.53,95,100,3.6,NO,12/13/2021 1:28,overcast clouds
100,Souillac,-20.5167,57.5167,75.58,78,40,5.75,MU,12/13/2021 1:19,light rain
101,Avarua,-21.2078,-159.775,73.45,94,75,6.91,CK,12/13/2021 1:28,heavy intensity rain
102,Rock Sound,24.9,-76.2,78.66,76,2,13.62,BS,12/13/2021 1:28,clear sky
103,Rudbar,30.15,62.6,47.19,43,0,5.88,AF,12/13/2021 1:28,clear sky
104,Norman Wells,65.282,-126.8329,-2.16,78,75,13.8,CA,12/13/2021 1:28,light snow
105,Kiunga,-6.1219,141.2906,75.69,95,100,3.22,PG,12/13/2021 1:28,overcast clouds
106,Broome,42.2506,-75.833,39.65,58,1,3,US,12/13/2021 1:28,clear sky
107,Ugoofaaru,5.6667,73,82.15,76,100,16.6,MV,12/13/2021 1:28,overcast clouds
108,Nouadhibou,20.931,-17.0347,64.38,72,0,19.57,MR,12/13/2021 1:21,clear sky
109,Mackenzie,55.2999,-123.1698,10.62,92,90,0,CA,12/13/2021 1:28,light snow
110,Meulaboh,4.1363,96.1285,77.23,88,100,2.17,ID,12/13/2021 1:28,overcast clouds
111,Udachnyy,66.4167,112.4,-47.56,71,99,3.78,RU,12/13/2021 1:28,overcast clouds
112,Pauini,-7.7136,-66.9764,75.04,99,100,3.2,BR,12/13/2021 1:28,overcast clouds
113,Fairbanks,64.8378,-147.7164,-12.78,68,75,0,US,12/13/2021 1:24,light snow
114,Banda Aceh,5.5577,95.3222,79.02,81,83,12.26,ID,12/13/2021 1:28,broken clouds
115,Kholm,59.2667,32.85,30.07,98,100,6.11,RU,12/13/2021 1:28,snow
116,Terrace Bay,48.7834,-87.1,37.02,87,91,11.92,CA,12/13/2021 1:28,overcast clouds
117,Mount Gambier,-37.8333,140.7667,64.31,72,90,14.97,AU,12/13/2021 1:28,light rain
118,Zambezi,-13.5432,23.1047,66.74,83,64,3.13,ZM,12/13/2021 1:28,light rain
119,Baruun-Urt,46.6806,113.2792,13.41,61,4,19.57,MN,12/13/2021 1:28,clear sky
120,Dieppe,49.75,1.1667,49.19,80,100,7.34,FR,12/13/2021 1:28,overcast clouds
121,Cape Town,-33.9258,18.4232,64.81,79,0,3,ZA,12/13/2021 1:28,clear sky
122,Ganzhou,28.8184,115.4327,51.42,64,99,5.7,CN,12/13/2021 1:28,overcast clouds
123,Javanrud,34.7961,46.5172,41.72,25,100,3.65,IR,12/13/2021 1:28,overcast clouds
124,Cayenne,4.9333,-52.3333,76.08,91,75,0,GF,12/13/2021 1:28,broken clouds
125,Victoria,22.2855,114.1577,67.24,71,5,1.01,HK,12/13/2021 1:27,clear sky
126,Huarmey,-10.0681,-78.1522,68.43,83,92,7.23,PE,12/13/2021 1:28,overcast clouds
127,Bronnoysund,65.4625,12.1997,41,87,75,14.97,NO,12/13/2021 1:28,broken clouds
128,Qianguo,45.1171,124.8568,11.01,76,14,12.82,CN,12/13/2021 1:28,few clouds
129,Mount Isa,-20.7333,139.5,100.17,9,5,8.05,AU,12/13/2021 1:28,clear sky
130,Anju,39.6178,125.6647,22.95,33,0,4.99,KP,12/13/2021 1:28,clear sky
